id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1948,Chup Chup Ke,Shankar;Ehsaan;Loy;Sonu Nigam;Mahalakshmi Iyer;Gulzar,jazz,angry,0.743,116.96,0.259,0.715,0.339
1949,Happen,Nick Hakim,jazz,focused,0.403,122.01,0.278,0.647,0.157
1950,Deck The Halls,Nat King Cole,jazz,romantic,0.393,107.17,0.97,0.635,0.652
1951,"Oru Devathai (From ""Vaamanan"")",Yuvan Shankar Raja;Roop Kumar Rathod,k-pop,focused,0.493,120.02,0.281,0.642,0.163
1952,Churchill Downs,Jack Harlow;Drake,k-pop,focused,0.522,96.45,0.37,0.71,0.615
1953,STEREOTYPE,STAYC,k-pop,euphoric,0.805,148.3,0.738,0.605,0.313
1954,Azhagho Azhaghu,Yuvan Shankar Raja;Naresh Iyer,k-pop,happy,0.603,108.04,0.789,0.83,0.395
1955,I CAN'T STOP ME,TWICE,k-pop,euphoric,0.88,150.08,0.769,0.657,0.121
1956,Some,BOL4,k-pop,euphoric,0.799,103.99,0.782,0.659,0.417
1957,Konjum Kili,Yuvan Shankar Raja;Velmurugan,k-pop,energetic,0.732,79.96,0.561,0.691,0.197
1958,"Nazar Ke Samne (From ""Aashiqui"")",Anuradha Paudwal;Kumar Sanu,k-pop,focused,0.51,142.99,0.526,0.458,0.715
1959,MORE & MORE,TWICE,k-pop,energetic,0.841,106.99,0.562,0.739,0.0312
1960,Serendipity - Full Length Edition,BTS,k-pop,focused,0.578,128.92,0.227,0.422,0.443
1961,Pyar Kiya To Nibhana,Anuradha Paudwal;Udit Narayan,k-pop,focused,0.583,94.03,0.525,0.715,0.24
1962,God’s Menu,Stray Kids,k-pop,energetic,0.771,157.05,0.482,0.689,0.0078
1963,Thaen Thaen Thaen,Vidyasagar;Udit Narayan;Shreya Ghoshal,k-pop,euphoric,0.808,96.98,0.733,0.713,0.115
1964,Shree Durga Chalisa,Anuradha Paudwal,k-pop,happy,0.604,154.28,0.699,0.588,0.358
1965,Friends,BTS,k-pop,happy,0.747,79.98,0.649,0.55,0.0668
1966,"Nattu Sarakku - Language: Tamil; Film: Pudukkottaielerunthusaravanan; Film Artists: Dhanush, Aparna",Dhanush,k-pop,euphoric,0.741,75.19,0.916,0.666,0.224
1967,IDOL,BTS,k-pop,energetic,0.855,126.03,0.42,0.733,0.0048
1968,FEVER,ENHYPEN,k-pop,energetic,0.713,73.0,0.471,0.6,0.0642
1969,TT,TWICE,k-pop,intense,0.852,129.95,0.396,0.708,0.0525
1970,Scars leave beautiful trace,"Car, the garden",k-pop,focused,0.535,82.02,0.21,0.479,0.49
1971,Kasavinte Thattamittu,Vidyasagar;Vineeth Sreenivasan,k-pop,happy,0.568,88.95,0.901,0.733,0.214
1972,Rush Hour (Feat. j-hope of BTS),Crush;j-hope,k-pop,euphoric,0.714,95.03,0.74,0.738,0.157
1973,SNEAKERS,ITZY,k-pop,energetic,0.849,119.99,0.551,0.935,0.0192
1974,Kisi Din Banoongi Main,Alka Yagnik;Udit Narayan,k-pop,euphoric,0.704,89.05,0.898,0.515,0.747
1975,WHATS POPPIN - Remix,Jack Harlow;DaBaby;Tory Lanez;Lil Wayne,k-pop,euphoric,0.723,145.01,0.835,0.904,0.0631
1976,I WANNA SEE SOME ASS,Jack Harlow;jetsonmade,k-pop,happy,0.652,107.95,0.93,0.907,0.284
1977,Hey Ram Hey Ram Shree Ram Dhun,Jagjit Singh,k-pop,romantic,0.411,91.57,0.683,0.586,0.741
1978,Laxmi Mantra,Anuradha Paudwal,k-pop,melancholic,0.194,79.24,0.184,0.364,0.936
1979,Life's Too Short (English Version),aespa,k-pop,energetic,0.8,72.2,0.548,0.472,0.289
1980,Mikrokosmos,BTS,k-pop,energetic,0.858,174.04,0.475,0.579,0.125
1981,Baby Shark (Trap Remix),Pj Panda,kids,focused,0.465,126.06,0.273,0.914,0.0017
1982,What We Do,Cupid;Andrew Jackson,kids,happy,0.809,98.0,0.622,0.726,0.0259
1983,Fight Song,Mini Pop Kids,kids,energetic,0.637,175.85,0.438,0.433,0.293
1984,Be The King,That Girl Lay Lay,kids,euphoric,0.804,84.95,0.849,0.756,0.289
1985,Feliz Cumpleanos,Dora The Explorer,kids,happy,0.525,107.86,0.937,0.915,0.563
1986,Double Scoop,Koo Koo Kanga Roo,kids,euphoric,0.778,112.99,0.716,0.824,0.101
1987,Baby Shark (Trap Remix),Pj Panda;ML3V LLC,kids,focused,0.465,126.06,0.273,0.914,0.0017
1988,I Like Pencils,Cody;Heart;Mr. Primm;Scatter;K.Flay,kids,romantic,0.453,104.96,0.992,0.962,0.494
1989,Jack & Jill (Trap Remix),Pj Panda,kids,focused,0.558,130.06,0.4,0.802,0.089
1990,Haterz - Remix,Grey Skye Evans;KD Da Kid,kids,focused,0.433,136.1,0.242,0.876,0.016
1991,$Ave Money,Pj Panda,kids,energetic,0.846,144.97,0.499,0.838,0.133
1992,Blow Up,KD Da Kid,kids,energetic,0.607,81.98,0.402,0.822,0.0444
1993,Bubble Wrap Rap,Koo Koo Kanga Roo,kids,euphoric,0.774,168.02,0.885,0.839,0.323
1994,Pogo,Koo Koo Kanga Roo,kids,happy,0.597,125.98,0.81,0.737,0.0053
1995,I'm Really Gonna Hit The Ball,Dora The Explorer,kids,focused,0.518,130.02,0.406,0.609,0.578
1996,GDFR (Going Down for Real),DJ Black Rock,kids,euphoric,0.758,145.91,0.816,0.669,0.0644
1997,Baby Shark - Soul Version,Desmond Dennis,kids,intense,0.728,150.66,0.363,0.667,0.0477
1998,Turkey in the Straw,Ray Remesch,kids,happy,0.668,102.35,0.949,0.827,0.794
1999,If You're Happy and You Know It (Rúguǒ Nǐ Hěn Gāoxìng Érqiě Nǐ Zhīdào),Babyboomboom,kids,romantic,0.148,128.81,0.872,0.83,0.546
2000,Chicka Chicka Funk,John Archambault and David Plummer,kids,romantic,0.308,112.27,0.946,0.818,0.337
2001,DRACULA: A Children's Story,Coach Kody,kids,romantic,0.269,179.22,0.693,0.605,0.67
2002,Flush the Toilet,Blake Rules;Netherfriends,kids,happy,0.619,79.0,0.603,0.599,0.291
2003,Once I Caught a Fish Alive,Kidsounds,kids,romantic,0.498,180.23,0.914,0.808,0.708
2004,Jump to the Beat,Uncle Devin,kids,romantic,0.438,92.0,0.69,0.923,0.0251
2005,The Abc Song,Pj Panda,kids,melancholic,0.346,150.03,0.255,0.857,0.0252
2006,The Burpee Song,Christopher Zondaflex Tyler,kids,romantic,0.438,119.97,0.843,0.885,0.192
2007,Be Polite,Blake Rules;Netherfriends,kids,focused,0.535,138.0,0.415,0.893,0.856
2008,See It Say It Sign It,Jack Hartmann,kids,intense,0.739,82.0,0.36,0.766,0.0353
2009,"Count by 2's, 5's, 10's",Pj Panda,kids,euphoric,0.719,127.07,0.788,0.956,0.0481
2010,Puppy,Koo Koo Kanga Roo;Ali Fisch,kids,happy,0.745,149.97,0.635,0.658,0.419
2011,Vacío,Luis Fonsi;Rauw Alejandro,latin,happy,0.824,166.0,0.628,0.747,0.0283
2012,La Llevo Al Cielo,Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,latin,euphoric,0.845,170.02,0.769,0.795,0.105
2013,Pam Pam,Wisin & Yandel,latin,happy,0.69,95.03,0.735,0.874,0.121
2014,Pa Callar Tus Penas,Cami,latin,focused,0.485,171.88,0.305,0.425,0.395
2015,Siente El Boom,"Tito ""El Bambino"";Randy",latin,energetic,0.745,95.02,0.512,0.804,0.112
2016,RUMBATÓN,Daddy Yankee,latin,euphoric,0.909,95.0,0.922,0.685,0.0471
2017,Amarillo Azul,Thalia,latin,euphoric,0.881,129.03,0.974,0.693,0.0298
2018,Del Mar,Ozuna;Doja Cat;Sia,latin,energetic,0.636,109.98,0.536,0.759,0.0224
2019,Llévame Contigo,Paty Cantú,latin,angry,0.875,96.99,0.236,0.639,0.0156
2020,Boomerang,Lalo Ebratt;Trapical,latin,happy,0.661,92.14,0.919,0.603,0.221
2021,PPP,Kevin Roldan,latin,happy,0.625,92.99,0.774,0.798,0.383
2022,Labios Rotos - En Vivo,Zoé,latin,intense,0.755,109.06,0.311,0.582,0.0632
2023,Otra vez,Zion & Lennox;J Balvin,latin,euphoric,0.772,96.0,0.702,0.829,0.0559
2024,Imposible,Luis Fonsi;Ozuna,latin,euphoric,0.764,90.98,0.913,0.786,0.121
2025,Mala De Verdad,Mariah Angeliq,latin,intense,0.763,93.98,0.384,0.785,0.129
2026,Querida Rosa,Cami,latin,melancholic,0.334,139.78,0.383,0.618,0.85
2027,La Nueva Y La Ex,Daddy Yankee,latin,happy,0.943,198.05,0.639,0.639,0.0462
2028,Feliz Cumpleaños Ferxxo,Feid,latin,focused,0.573,95.0,0.563,0.865,0.0863
2029,Hermosa Ingrata,Juanes,latin,euphoric,0.764,94.02,0.964,0.729,0.201
2030,Hey Mor,Ozuna;Feid,latin,focused,0.589,98.0,0.399,0.901,0.003
2031,Olvidando,Brytiago;Darell,latin,energetic,0.672,172.0,0.585,0.767,0.12
2032,Camino De Rosas,Alejandro Sanz,latin,happy,0.609,96.04,0.612,0.776,0.481
2033,Heart Attack,Enrique Iglesias,latin,energetic,0.892,77.01,0.479,0.553,0.0639
2034,Feliz Cumpleaños Ferxxo,Feid,latin,focused,0.573,95.0,0.563,0.865,0.0863
2035,Bipolar,Chris Jedi;Ozuna;Brytiago,latin,energetic,0.697,76.03,0.416,0.782,0.32
2036,4 besos,Lola Indigo;Rauw Alejandro;Lalo Ebratt,latin,happy,0.658,90.01,0.713,0.865,0.214
2037,Yo Quiero Vivir,Manuel Carrasco,latin,euphoric,0.733,117.97,0.704,0.69,0.143
2038,Promiscuous,Nelly Furtado;Timbaland,latin,euphoric,0.974,114.3,0.873,0.815,0.0465
2039,FRESH KERIAS,Feid;Maluma;Sky Rompiendo,latin,happy,0.582,186.1,0.713,0.741,0.291
2040,Gracias,Moderatto,latin,intense,0.906,125.08,0.347,0.531,0.0286
2041,Safari,J Balvin;Pharrell Williams;BIA;Sky,latino,happy,0.675,180.08,0.604,0.689,0.531
2042,Pobre Diabla,Don Omar,latino,euphoric,0.787,91.99,0.771,0.741,0.217
2043,La Nota,Ecko;Cauty;Juanka,latino,happy,0.52,176.07,0.614,0.839,0.179
2044,X ÚLTIMA VEZ,Daddy Yankee;Bad Bunny,latino,energetic,0.855,90.04,0.573,0.812,0.0789
2045,In Da Getto,J Balvin;Skrillex,latino,happy,0.723,127.0,0.643,0.924,0.0177
2046,Sigo Extrañándote,J Balvin,latino,euphoric,0.859,93.02,0.938,0.896,0.154
2047,Guaya Guaya,Don Omar,latino,happy,0.872,92.03,0.696,0.787,0.0067
2048,Suena El Dembow,Joey Montana;Sebastian Yatra,latino,euphoric,0.858,91.88,0.755,0.69,0.189
2049,Quieres Volver,Jairo Vera;Bayriton;Ignacio Green Clown;Paolo Ronaldo,latino,happy,0.625,105.05,0.86,0.825,0.0202
2050,Te Reto,Alexis y Fido;Yandel,latino,energetic,0.681,170.04,0.516,0.824,0.0107
2051,Billetes Azules,KEVVO;J Balvin,latino,happy,0.721,94.99,0.642,0.856,0.132
2052,Los Cachos,Piso 21;Manuel Turizo,latino,energetic,0.73,91.97,0.421,0.774,0.108
2053,La pared 720,Lenny Tavárez;Randy;De La Ghetto;Brray;Justin Quiles,latino,euphoric,0.845,171.94,0.749,0.698,0.176
2054,Ay Corazón,Cali Y El Dandee,latino,euphoric,0.711,172.07,0.782,0.728,0.0183
2055,LA INOCENTE,Mora;Feid,latino,energetic,0.789,91.91,0.464,0.757,0.307
2056,Me Voy Enamorando,Chino & Nacho,latino,energetic,0.912,99.95,0.511,0.686,0.0533
2057,Yo Voy (feat. Daddy Yankee),Zion & Lennox,latino,energetic,0.697,95.06,0.554,0.808,0.041
2058,La Tóxica,Mariah Angeliq,latino,euphoric,0.723,91.76,0.724,0.536,0.0149
2059,El Cel,Ozuna;Chencho Corleone;Arcangel;J Balvin;Randy,latino,euphoric,0.799,165.91,0.945,0.521,0.0796
2060,NO COGEMOS ESA,Cauty;Hozwal,latino,energetic,0.681,89.89,0.44,0.65,0.377
2061,Flow Natural,"Tito ""El Bambino"";Beenie Man;Ines",latino,euphoric,0.789,101.04,0.826,0.831,0.121
2062,LA CANCIÓN,J Balvin;Bad Bunny,latino,energetic,0.646,176.09,0.429,0.756,0.152
2063,La Curiosidad,Jay Wheeler;DJ Nelson;Myke Towers,latino,happy,0.677,90.01,0.68,0.845,0.269
2064,Shaky Shaky,Daddy Yankee,latino,happy,0.626,88.01,0.873,0.899,0.076
2065,Rosa,J Balvin,latino,focused,0.583,176.03,0.305,0.637,0.258
2066,Lemon Kush,Young Cister,latino,happy,0.697,82.5,0.751,0.709,0.126
2067,BOMBÓN,Daddy Yankee;El Alfa;Lil Jon,latino,energetic,0.789,125.07,0.571,0.843,0.0028
2068,Feliz,Chimbala,latino,euphoric,0.852,130.0,0.956,0.848,0.373
2069,Chacarera Jeringosa,Canticuénticos,latino,romantic,0.391,96.36,0.761,0.856,0.809
2070,Caro,Julianno Sosa,latino,focused,0.472,155.77,0.21,0.664,0.213
2071,Yeshuvin Koodulla Yathra,Dr. Blesson Memana,malay,melancholic,0.346,119.88,0.373,0.56,0.744
2072,Neerum Nenjin,Kester,malay,focused,0.56,94.88,0.369,0.558,0.371
2073,Palnila Punchiri,K. G. Markose,malay,happy,0.669,169.94,0.967,0.74,0.42
2074,Enthu Njan Pakaram Nalkum,Mathew T John,malay,focused,0.583,143.86,0.543,0.527,0.243
2075,Ente Maathram,Sachin Warrier,malay,focused,0.357,122.95,0.418,0.635,0.86
2076,Ponnonam Varavayi,K. S. Harisankar,malay,energetic,0.783,91.23,0.455,0.551,0.235
2077,Aathmasphere,Street Academics,malay,angry,0.815,99.95,0.189,0.805,0.171
2078,Aaro Aaro Chare,Najim Arshad,malay,romantic,0.493,97.99,0.757,0.765,0.292
2079,Aaja Mere Dil Mein Yesu - Sunday School Song,Joy John,malay,euphoric,0.731,95.04,0.867,0.694,0.0565
2080,Settaigalai Virikkum Kaalam,Gersson Edinbaro,malay,euphoric,0.849,116.97,0.92,0.767,0.285
2081,Kadalkkaattin - Female Version,Sujatha,malay,focused,0.436,137.92,0.374,0.55,0.619
2082,Vismaya,Anil Raveendran;Aromal Chekaver;Aparna Sathyan,malay,melancholic,0.191,139.31,0.36,0.565,0.762
2083,Koode Thullu,Fejo;Jeffin Jestin,malay,energetic,0.818,140.05,0.514,0.814,0.0132
2084,Bunga Saavi Remix,Vikadakavi,malay,happy,0.954,76.51,0.678,0.693,0.167
2085,Sunday Morning,Aromal Chekaver,malay,romantic,0.463,90.0,0.724,0.683,0.298
2086,"Poo Pookum Oosai (From ""Minsara Kanavu"")",Sujatha;Malaysia Vasudevan;A.R. Rahman,malay,happy,0.58,100.0,0.713,0.833,0.0306
2087,Akalukayo,Pina Colada Blues;Mridul Anil,malay,melancholic,0.354,119.94,0.263,0.642,0.822
2088,Meena Ponnu,Sujatha;Mano,malay,euphoric,0.827,139.9,0.859,0.619,0.394
2089,Chinna Chinna Kanaugal,Swetha,malay,euphoric,0.751,110.0,0.823,0.875,0.3
2090,Karupp,Ababeel,malay,melancholic,0.391,106.91,0.249,0.387,0.831
2091,Nirappidunga,Gersson Edinbaro,malay,happy,0.697,174.0,0.867,0.661,0.262
2092,Karthave Nin Roopam,Sadhu Kochu Kunju Upadesi,malay,happy,0.722,135.93,0.653,0.62,0.679
2093,Hope,NJ,malay,energetic,0.777,119.96,0.487,0.891,0.337
2094,Vandi Puncture,Street Academics,malay,energetic,0.729,97.9,0.526,0.776,0.333
2095,Vaadi Saathukkodi,Sujatha;Kalyani Menon,malay,romantic,0.436,91.04,0.927,0.785,0.166
2096,Ennammaye Orkkumbol - Female Vocals,Elizabeth Raju,malay,focused,0.442,137.72,0.144,0.439,0.586
2097,Innalekalil,Niranj Suresh,malay,focused,0.563,123.04,0.466,0.635,0.278
2098,Ishalayi Neeye,Sajeer Koppam;Nysha Fathima,malay,melancholic,0.377,139.71,0.228,0.42,0.539
2099,Kannodu - Live,Job Kurian;Mridula Warrier,malay,romantic,0.434,155.53,0.692,0.522,0.821
2100,Open Your Wings (Chirakukal Mulakkuvan),Rohit Gopalakrishnan;MC Mushti;Jazadin;Kalai Mk,malay,angry,0.902,139.75,0.0836,0.701,0.277
2101,光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,mandopop,intense,0.668,175.87,0.238,0.539,0.4
2102,聽海,A-Mei Chang,mandopop,melancholic,0.388,123.89,0.138,0.528,0.265
2103,愛一個人好難,William So,mandopop,focused,0.526,78.19,0.329,0.545,0.702
2104,"陪你度過漫長歲月 - ""陪安東尼度過漫長歲月""電影主題曲",Eason Chan,mandopop,focused,0.54,149.94,0.578,0.502,0.54
2105,對的時間點,JJ Lin,mandopop,focused,0.493,82.34,0.238,0.394,0.65
2106,无题 - 网剧《山河令》插曲,Hu Xia,mandopop,chill,0.304,139.87,0.43,0.519,0.487
2107,我還年輕 我還年輕,老王樂隊,mandopop,focused,0.561,127.89,0.453,0.596,0.15
2108,忽然之間,Karen Mok,mandopop,melancholic,0.335,138.07,0.332,0.73,0.674
2109,沙龍,Eason Chan,mandopop,focused,0.58,142.08,0.347,0.534,0.658
2110,不得不愛,Will Pan;Xian Zi,mandopop,focused,0.484,80.0,0.438,0.719,0.751
2111,曖昧,Rainie Yang,mandopop,melancholic,0.238,84.01,0.159,0.541,0.899
2112,你那麼愛她,林隆璇;Sam Lee,mandopop,intense,0.643,120.16,0.201,0.516,0.467
2113,Mojito,Jay Chou,mandopop,happy,0.595,115.0,0.8,0.814,0.476
2114,溫蒂公主的侍衛 (三立/台視戲劇《天巡者》插曲),告五人,mandopop,focused,0.507,110.01,0.133,0.569,0.0156
2115,嫁妝,陳中;邱芸子,mandopop,focused,0.517,135.89,0.227,0.561,0.119
2116,泡沫,G.E.M.,mandopop,focused,0.403,136.02,0.162,0.551,0.237
2117,愛與痛的邊緣,Faye Wong,mandopop,focused,0.411,113.29,0.534,0.62,0.514
2118,爺爺泡的茶,Jay Chou,mandopop,happy,0.667,169.99,0.601,0.621,0.244
2119,Como Esta,Soo Wincci,mandopop,energetic,0.646,125.02,0.401,0.608,0.0738
2120,彩虹,A-Mei Chang,mandopop,focused,0.53,78.05,0.445,0.536,0.237
2121,"愛不由我 (電視劇《親愛的, 熱愛的》插曲)",Azora Chin,mandopop,melancholic,0.377,111.72,0.356,0.5,0.634
2122,陰天,Karen Mok,mandopop,focused,0.529,133.97,0.267,0.72,0.559
2123,我知道,BY2,mandopop,focused,0.584,115.92,0.29,0.674,0.678
2124,渴望,Aaron Kwok;Kaiel Chen;Zhang Yong Fu and Eric Chen,mandopop,energetic,0.82,120.03,0.407,0.712,0.317
2125,丑八怪,Joker Xue,mandopop,melancholic,0.399,124.03,0.287,0.569,0.784
2126,不對稱的愛情 (主題曲),劉嘉慧,mandopop,focused,0.594,149.83,0.222,0.507,0.459
2127,半島鐵盒,Jay Chou,mandopop,focused,0.439,129.98,0.491,0.784,0.432
2128,幸福過敏,詹雅雯,mandopop,melancholic,0.272,76.97,0.319,0.494,0.755
2129,那年夏天寧靜的海,Cyndi Wang,mandopop,focused,0.425,111.89,0.498,0.651,0.861
2130,離人,林志炫,mandopop,melancholic,0.294,177.68,0.174,0.39,0.796
2131,IN MY REMAINS,Linkin Park,metal,energetic,0.907,100.97,0.451,0.553,0.004
2132,Seize the Day,Avenged Sevenfold,metal,intense,0.802,140.1,0.338,0.393,0.0168
2133,Battle Symphony,Linkin Park,metal,happy,0.839,149.03,0.669,0.653,0.0369
2134,Welcome to the Family,Avenged Sevenfold,metal,happy,0.946,94.98,0.699,0.567,0.0027
2135,Be Quiet and Drive (Far Away),Deftones,metal,angry,0.965,92.61,0.168,0.206,0.0
2136,Under the Bridge,Red Hot Chili Peppers,metal,chill,0.345,84.58,0.458,0.559,0.0576
2137,Snow (Hey Oh),Red Hot Chili Peppers,metal,energetic,0.9,104.66,0.599,0.427,0.116
2138,Glass Heart,Caskets,metal,intense,0.958,164.07,0.341,0.412,0.0002
2139,Won't Back Down,Fuel,metal,angry,0.883,95.04,0.133,0.465,0.0001
2140,The Reason,Hoobastank,metal,intense,0.671,82.94,0.0682,0.474,0.0129
2141,Tippa My Tongue,Red Hot Chili Peppers,metal,euphoric,0.913,88.42,0.795,0.573,0.0086
2142,One Step Closer,Linkin Park,metal,energetic,0.969,95.14,0.538,0.492,0.0014
2143,Cult of Personality,Living Colour,metal,energetic,0.918,92.03,0.539,0.504,0.0016
2144,For the Love of God,Steve Vai,metal,angry,0.842,95.49,0.283,0.152,0.0035
2145,More Than Words,Extreme,metal,melancholic,0.134,182.89,0.258,0.403,0.469
2146,All Along the Watchtower,Jimi Hendrix,metal,energetic,0.805,113.25,0.564,0.438,0.0026
2147,Kryptonite,3 Doors Down,metal,energetic,0.848,99.04,0.489,0.544,0.004
2148,Almost Easy,Avenged Sevenfold,metal,intense,0.959,174.93,0.338,0.378,0.0
2149,Epiphany,Staind,metal,focused,0.487,149.96,0.145,0.559,0.0333
2150,Handful,Red Hot Chili Peppers,metal,energetic,0.601,142.26,0.552,0.572,0.0123
2151,Fool for Your Loving,Whitesnake,metal,euphoric,0.906,122.13,0.748,0.586,0.0008
2152,Fallen Angel,Three Days Grace,metal,angry,0.911,137.01,0.218,0.453,0.0055
2153,Looks That Kill,Static-X,metal,happy,0.956,136.98,0.669,0.641,0.0004
2154,Higher,Creed,metal,energetic,0.83,155.83,0.431,0.459,0.0001
2155,Leviathan,Yngwie Malmsteen,metal,angry,0.938,109.83,0.162,0.224,0.0101
2156,Valhalla Calling,Miracle Of Sound,metal,happy,0.611,76.04,0.668,0.561,0.428
2157,Untraveled Road,Thousand Foot Krutch,metal,energetic,0.85,125.03,0.467,0.593,0.0003
2158,Somewhere I Belong,Linkin Park,metal,energetic,0.951,162.06,0.442,0.451,0.0004
2159,You're All I Need,White Lion,metal,focused,0.539,118.67,0.208,0.506,0.11
2160,Justo Que Te Vas,Ricardo Iorio,metal,energetic,0.778,93.97,0.52,0.471,0.223
2161,Gone With The Wind,Architects,metalcore,intense,0.942,77.57,0.303,0.421,0.0003
2162,The Bright Side of Suffering,Scary Kids Scaring Kids,metalcore,angry,0.941,174.11,0.116,0.33,0.0034
2163,Walk with Me In Hell,Lamb of God,metalcore,angry,0.982,110.63,0.118,0.286,0.0
2164,Vigil,Lamb of God,metalcore,angry,0.949,106.14,0.12,0.326,0.0002
2165,Something,Escape the Fate,metalcore,energetic,0.853,175.23,0.481,0.395,0.0091
2166,Bratva,Slaughter to Prevail,metalcore,angry,0.992,180.0,0.133,0.416,0.0002
2167,Na Vala,Project46,metalcore,angry,0.987,100.78,0.0389,0.33,0.0005
2168,Martyr (Waves),Polaris,metalcore,angry,0.848,102.04,0.244,0.564,0.0007
2169,Masochist,Polaris,metalcore,angry,0.941,120.0,0.264,0.49,0.0006
2170,Voices In My Head,Falling In Reverse,metalcore,happy,0.898,173.17,0.639,0.546,0.0266
2171,Broken,The Devil Wears Prada,metalcore,angry,0.855,145.02,0.135,0.43,0.0028
2172,Holy Roller,Spiritbox,metalcore,angry,0.948,161.24,0.167,0.419,0.001
2173,Terra Firma,MyChildren MyBride,metalcore,intense,0.966,127.99,0.4,0.568,0.0016
2174,My Last Serenade,Killswitch Engage,metalcore,angry,0.943,177.97,0.142,0.441,0.0005
2175,Alone Again,Asking Alexandria,metalcore,angry,0.969,109.98,0.199,0.496,0.0001
2176,Recreant,Chelsea Grin,metalcore,angry,0.935,125.02,0.205,0.514,0.001
2177,Strife,Trivium,metalcore,intense,0.987,142.03,0.309,0.461,0.0
2178,Misery,Memphis May Fire,metalcore,energetic,0.899,85.02,0.553,0.431,0.0005
2179,Crash & Burn,Northlane;PhaseOne,metalcore,angry,0.861,74.82,0.143,0.227,0.0002
2180,Descending,Lamb of God,metalcore,angry,0.969,93.19,0.129,0.494,0.0001
2181,Darkness Within,Any Given Day,metalcore,angry,0.983,100.98,0.164,0.407,0.0
2182,If You Still Hate Me,Ill Niño,metalcore,angry,0.983,135.44,0.0914,0.468,0.0001
2183,Careful What You Wish For,Bad Omens,metalcore,angry,0.964,145.04,0.116,0.398,0.0194
2184,Fake,I Prevail,metalcore,angry,0.952,105.02,0.275,0.539,0.0004
2185,Happy Song,Bring Me The Horizon,metalcore,angry,0.924,171.94,0.219,0.295,0.0
2186,Erro +55,Project46,metalcore,angry,0.978,159.98,0.267,0.333,0.0024
2187,Afflicted,Hollow Front,metalcore,angry,0.941,164.22,0.169,0.185,0.029
2188,This Glorious Nightmare,Unearth,metalcore,angry,0.981,147.27,0.268,0.309,0.0002
2189,Open Heaven,For Today,metalcore,energetic,0.981,152.89,0.463,0.381,0.0009
2190,MAKE ME DEAD!,SiM,metalcore,happy,0.957,99.97,0.611,0.593,0.0056
2191,Darkness,Boris Brejcha;Ginger,minimal-techno,intense,0.686,125.0,0.146,0.803,0.0005
2192,Another Side,Fluxion,minimal-techno,melancholic,0.318,120.05,0.339,0.81,0.686
2193,1Guy - Original Mix,Elay Lazutkin,minimal-techno,focused,0.589,126.99,0.149,0.861,0.0022
2194,Callisto - Ben Böhmer Remix,Stephan Bodzin;Marc Romboy;Ben Böhmer,minimal-techno,angry,0.716,125.01,0.0735,0.672,0.0022
2195,I Want You,Boris Brejcha;Ginger,minimal-techno,intense,0.678,125.0,0.0379,0.797,0.0012
2196,Electric Acid,Mark Dekoda,minimal-techno,angry,0.933,133.97,0.172,0.688,0.0005
2197,Petit Matin,NTO,minimal-techno,focused,0.548,123.99,0.149,0.818,0.145
2198,In White Rooms,Booka Shade,minimal-techno,intense,0.64,125.01,0.0938,0.8,0.0007
2199,Ritual,Pleasurekraft,minimal-techno,angry,0.753,129.99,0.0736,0.71,0.0136
2200,Shake & Pop - Original Mix,Green Velvet;Walter Phillips,minimal-techno,focused,0.589,129.02,0.239,0.862,0.0001
2201,The Antidote,T78;Ballarak,minimal-techno,angry,0.971,134.0,0.0741,0.574,0.002
2202,Gravy Train - Nicolas Jaar Remix,Maceo Plex,minimal-techno,chill,0.347,119.99,0.528,0.854,0.036
2203,Between Dreams and Reality - Niko Schwind Remix,Stereo Express;Niko Schwind,minimal-techno,angry,0.707,110.01,0.143,0.715,0.0048
2204,"2,20 Minutes Foot Walk - Club In Motion Mix",Tak Dec,minimal-techno,angry,0.744,124.01,0.059,0.806,0.0002
2205,Forgive Me If I Bleed,DAVID AUGUST,minimal-techno,melancholic,0.313,143.98,0.193,0.614,0.643
2206,We Do What We Want,Alan Fitzpatrick,minimal-techno,intense,0.966,126.01,0.349,0.77,0.0004
2207,Meanwhile in Rio,NTO,minimal-techno,melancholic,0.334,125.03,0.336,0.892,0.393
2208,Solitary Daze - Radio Edit,Maceo Plex;Gabriel Ananda,minimal-techno,intense,0.841,125.0,0.331,0.414,0.0529
2209,Feist,Thomas Schumacher,minimal-techno,angry,0.886,129.0,0.25,0.583,0.0014
2210,Eating Hooks - Siriusmo Remix - Solomun Edit,Moderat;Siriusmo;Solomun,minimal-techno,intense,0.728,123.99,0.347,0.661,0.0082
2211,Haul - Radio Edit,Christian Löffler;Mohna,minimal-techno,focused,0.417,117.98,0.117,0.615,0.287
2212,The Six Degrees Theory,Jan Blomqvist;Kid Simius,minimal-techno,focused,0.412,122.05,0.132,0.572,0.0049
2213,Entrudo,Worakls,minimal-techno,focused,0.404,120.0,0.198,0.756,0.0663
2214,Porto,Worakls,minimal-techno,angry,0.713,127.99,0.19,0.678,0.0014
2215,Corrosion (Contour 2),Booka Shade,minimal-techno,intense,0.77,124.99,0.334,0.704,0.0102
2216,Twisted Reality - Edit,Boris Brejcha,minimal-techno,intense,0.662,125.0,0.283,0.686,0.0028
